judul,topik,sub_topik,topik_pilihan,tanggal_waktu_publish,redaksi,advetorial,isi_berita,link
Rental Mobil untuk Jalan-jalan di Bali Jadi Lebih Mudah lewat TRAC,Iklan,Belum ditentukan,Bukan topik pilihan,2024-09-07 16:16:00,Anonim,Advertorial,"KOMPAS.com - Pencarian informasi dan proses transaksi saat ini semakin mudah karena bisa dilakukan secara online lewat smartphone atau ponsel pintar. Salah satu layanan yang bisa diakses secara digital dewasa kini adalah rental mobil. Layanan rental mobil sangat diperlukan ketika Anda merencanakan liburan ke destinasi-destinasi wisata populer, seperti Bali. Ketika hendak bertolak ke Bali, transportasi menjadi salah satu hal penting yang harus dipersiapkan. Terutama bagi pengunjung yang ingin berkendara sendiri untuk menjelajahi keindahan pulau ini. Oleh karena itu, layanan rental mobil di Bali menjadi solusi praktis yang bisa dipilih. Tidak seperti dahulu, kini fasilitas rental bisa dilakukan secara online tanpa perlu datang terlebih dahulu ke kantor penyedia layanan. Cukup dari rumah, Anda bisa merental mobil lewat TRAC. Dengan pengalaman lebih dari 37 tahun, TRAC hadir sebagai solusi kebutuhan transportasi yang aman, termasuk di Bali. Jaringan rental mobil ini luas dan tersebar di lebih dari 20 kota besar se-Indonesia, antara lain Jabodetabek, Bandung, Yogyakarta, Semarang, Surabaya, Malang, Bali, Medan, Pekanbaru, Palembang, hingga Samosir. TRAC juga didukung ratusan bengkel yang mencapai ke daerah-daerah lain, mulai dari Sumatera hingga Papua. Dengan demikian, pelanggan dipastikan tidak akan mengalami kesulitan dalam menjangkau TRAC di mana pun berada. Di samping itu, kredibilitas TRAC dalam keamanan dan kenyamanan juga dapat dilihat dari armada-armadanya yang terawat dan berusia tidak lebih dari lima tahun. Kemudian, armada yang disewakan TRAC juga siap pakai dan dilindungi dengan asuransi perjalanan. Dengan adanya asuransi, pelanggan akan merasa aman dan nyaman saat menggunakan layanan rental mobil. Informasi lebih lanjut mengenai asuransi perjalanan TRAC bisa diakses melalui laman https://www.trac.astra.co.id/syarat-ketentuan. Selain itu, TRAC juga menyediakan pengemudi yang profesional dan berpengalaman. Mereka sebelumnya telah dibekali pelatihan dasar safety driving dan defensive driving. Dengan begitu, mereka memiliki kemampuan mitigasi yang baik dalam mengatasi masalah-masalah yang mungkin terjadi selama perjalanan. Untuk melakukan reservasi atau mengajukan komplain, pelanggan tidak perlu khawatir, karena customer service TRAC tersedia selama 24 jam melalui nomor 1500-009 atau WhatsApp di nomor (+62)811-1177-087. Bahkan kini, TRAC telah menjelma menjadi salah satu rental mobil terbaik yang memberikan kemudahan bagi pelanggannya dalam melakukan proses reservasi. Tidak perlu khawatir tentang keamanan dan kenyamanan selama liburan, karena TRAC memastikan pengalaman rental mobil yang bebas dari kendala. Adapun cara mudah reservasi rental mobil TRAC bisa dilakukan melalui website. Berikut langkah-langkahnya: Dengan proses yang mudah dan cepat itu, pengguna bisa langsung menikmati liburan di Bali dengan mobil yang sudah siap digunakan. Tak perlu lagi risau soal transportasi, karena TRAC memastikan pelanggannya bisa menikmati setiap momen perjalanan di Bali dengan tenang dan nyaman. Liburan ke Bali semakin seru dengan promo spesial dari TRAC! Jangan lupa untuk cek promo yang sedang berlaku saat ini agar perjalanan semakin berkesan dan lebih hemat. Salah satu promo yang bisa dicoba adalah Merdeka Jalan-jalan Diskon Rp 100.000 untuk layanan sewa mobil lepas kunci maupun dengan pengemudi untuk pemesanan melalui aplikasi TRACtoGo. Aplikasi tersebut bisa diunduh melalui Google Play Store maupun App Store dengan kode voucher “DiIndonesiaAja”. Syarat dan ketentuan berlaku, ya! Untuk informasi mengenai promo lainnya, kunjungi laman https://linktr.ee/TRACtoGoAsk.",https://biz.kompas.com/read/2024/09/07/161654928/rental-mobil-untuk-jalan-jalan-di-bali-jadi-lebih-mudah-lewat-trac
Remaja 16 Tahun Tewas Diduga Dianiaya Teman di Puncak Bogor,Regional,Belum ditentukan,Bukan topik pilihan,2024-09-07 16:15:00,"Afdhalul Ikhsan, Gloria Setyvani Putri",Non Advertorial,"BOGOR, KOMPAS.com - Seorang remaja bernama Ridwan (16) tewas diduga dianiaya sejumlah temannya di kawasan Puncak Bogor, Jawa Barat. Peristiwa tersebut dilaporkan terjadi pada Rabu (4/9/2024) sekitar pukul 18.30 WIB, tepatnya di Cisarua, Kabupaten Bogor. Baca juga: 2 Balita yang Dianiaya Orangtua Asuh di Cilincing Dipulangkan ke Panti Asuhan Kapolsek Megamendung AKP Dedi Hermawan mengatakan bahwa korban awalnya ditemukan dalam kondisi muntah darah. Namun sehari kemudian, korban dinyatakan meninggal setelah dirawat di Rumah Sakit Umum Daerah (RSUD) Ciawi. ""Berdasarkan keterangan orangtuanya, saat ditemukan korban dalam kondisi muntah darah. Kemudian, korban dilarikan ke klinik 24 jam karena kondisi semakin memburuk hingga akhirnya dibawa ke RSUD Ciawi,"" ujar Dedi melalui keterangan tertulisnya, Sabtu (7/9/2024) ""Sayangnya, korban dinyatakan meninggal dunia setelah tiba di rumah sakit kamis kemarin,"" sambung Dedi. Dedi menuturkan, anggota reskrim datang mengecek korban dan melakukan olah tempat kejadian perkara (TKP). Polisi mengamankan beberapa barang bukti seperti handphone dan pakaian korban. Baca juga: Balita yang Dianiaya di Cilincing Masih Harus Jalani Fisioterapi Bicara Kini, pihaknya masih terus menyelidiki kasus itu untuk mengetahui penyebab kematian serta motif di balik kasus penganiayaan tersebut. ""Tindakan kepolisian yang telah dilakukan meliputi penerimaan laporan, mendatangi korban, untuk penanganan selanjutnya ditangani oleh Polres Bogor,"" ucap Dedi.",https://bandung.kompas.com/read/2024/09/07/161543378/remaja-16-tahun-tewas-diduga-dianiaya-teman-di-puncak-bogor
Walkot Bobby Optimistis Proyek-proyek Multiyears Akan Bermanfaat bagi Masyarakat,Regional,Belum ditentukan,Medan Berkah,2024-09-07 16:15:00,A P Sari,KILAS DAERAH,"KOMPAS.com -  Wali Kota (Walkot) Medan Bobby Nasution mengatakan, proyek-proyek multiyears Pemerintah Kota (Pemkot) Medan yang menggunakan Anggaran Pendapatan dan Belanja Daerah (APBD) Kota Medan sebentar lagi akan selesai. Oleh karena itu, dia berharap berbagai proyek pembangunan itu bisa memberikan hasil yang bermanfaat bagi masyarakat. ""Hari ini kita meninjau proyek-proyek multiyears di Kota Medan yang menggunakan APBD. Alhamdulillah, kata kuncinya sebentar lagi selesai,"" kata Bobby melalui siaran persnya, Sabtu (7/9/2024). Hal tersebut disampaikan Bobby saat meninjau Lapangan Merdeka Medan, Jumat (30/8/2024). Ia datang didampingi oleh Penjabat (Pj) Sekretaris Daerah (Sekda) Medan Topan Obaja Putra Ginting. Baca juga: KPK Bakal Minta Klarifikasi Bobby Nasution Usai Pastikan Keaslian Foto Naik Jet Pribadi Sebelumnya, dengan berjalan kaki, orang nomor satu di Kota Medan itu terlebih dahulu meninjau Underpass Jalan HM Yamin yang ada di Simpang Jalan Jawa dan Overpass Jalan Stasiun Medan. Bobby menjelaskan, salah satu kendala yang dihadapi selama proses pembangunan adalah kendala biasa di lapangan, utamanya menjelang akhir tahun, yakni cuaca dan hujan. ""Makanya, kita selalu sampaikan, kalau bisa untuk proyek yang berbentuk fisik, dihitung betul waktunya, jangan sampai berkenaan dengan musim hujan, sehingga berdampak terhadap pekerjaan di lapangan. Itu yang selalu kita ingatkan dan jadi peringatan bagi rekan-rekan semuanya di lapangan,"" ungkapnya. Sebagai informasi, progres pembangunan Underpass Jalan HM Yamin Simpang Jalan Jawa Medan sudah mencapai 54 persen. Pengerjaan kini memasuki tahap pengecoran jalan dan dinding. Baca juga: KPK Kaji Foto Bobby Nasution Naik Pesawat Jet Pribadi  Sementara itu, progres Overpass Jalan Stasiun adalah 63,9 persen. Pengerjaannya tengah fokus pada penimbunan akses jalan. Adapun pembangunan Lapangan Merdeka Medan sudah berada di angka 61,05 persen dan saat ini sedang dalam proses pengerjaan struktur. Hal lainnya, termasuk pengerjaan arsitektur, seperti pemasangan batu bata hebel dan long storage yang berfungsi sebagai kolam retensi mini. Kolam itu disiapkan di area kawasan Lapangan Merdeka untuk menampung debit air ketika curah hujan cukup tinggi. Kemudian, dilakukan pemompaan melalui empat pompa yang nanti akan berada di Simpang Jalan Raden Saleh. Baca juga: KPK Berencana Klarifikasi Bobby soal Jet Pribadi, Benny K Harman: Jangan karena Suka atau Tidak Suka Fungsinya, untuk mengatasi genangan sekitar kawasan Lapangan Merdeka bukan yang berada di dalam area lapangan bersejarah tersebut.",https://regional.kompas.com/read/2024/09/07/161540678/walkot-bobby-optimistis-proyek-proyek-multiyears-akan-bermanfaat-bagi
Afgan Gelar Konser Sonder Asia Tour di Jakarta dan Singapura,Hype,Belum ditentukan,Bukan topik pilihan,2024-09-07 16:15:00,"Revi C. Rantung, Rintan Puspita Sari",Non Advertorial,"JAKARTA, KOMPAS.com- Setelah sukses menggelar konser di Korea dan Malaysia pada Juni dan Agustus 2024 lalu, penyanyi Afgan kembali hadir dengan konser yang bertajuk Sonder Asia Tour. Sonder Asia Tour rencananya digelar di Jakarta hari ini, Sabtu (7/9/2024) di M Bloc, Jakarta Selatan. Sedangkan di Singapura akan dihelat di The Star Gallery pada 13 September 2024 mendatang. Afgan akan membawakan 2 mini album terbarunya yang bertajuk Wallflower dan Sonder. Baca juga: Afgan Muncul di Film Dokumenternya, Rossa: Banyak Cerita yang Kita Share Selama 15 Tahun Konser ini akan berlangsung secara intimate dengah tiket yang bisa didapat melalui Cognitix.id. Untuk harga tiket reguler Rp 250.000. Sedangkan, untuk tiket VIP dengan harga Rp 475.000 telah habis terjual.  Untuk tiket konser di Singapura mulai dijual seharga Rp 98 dolar Singapura melalui sistic.com.sg. Sejatinya, proyek tersebut sangat membahagiakan bagi Afgan. Sebab, tidak hanya dapat mempelajari hal-hal yang berkaitan dengan produksi dari experts dan collaborator artis luar negri, Afgan juga dapat menemukan penikmat-penikmat baru dari karya musiknya. Afgan juga menantikan bertemu dengan media lokal di negara-negara itu sekaligus mengadakan sharing session dengan generasi muda yang mencakup berbagai topik seperti sharing pengalaman karier hingga mental health. Lebih lanjut, Afgan berharap lewat musiknya dapat menyentuh jiwa dan mampu menciptakan hubungan mendalam yang membuat setiap orang merasa terhubung.",https://www.kompas.com/hype/read/2024/09/07/161500966/afgan-gelar-konser-sonder-asia-tour-di-jakarta-dan-singapura
Cara Hapus Foto-foto Screenshot Tidak Penting di HP Android dengan Mudah ,Tekno,Internet,Bukan topik pilihan,2024-09-07 16:11:00,Soffya Ranti,Non Advertorial,"KOMPAS.com - Foto-foto tangkapan layar atau screenshot sering kali menumpuk di ponsel Android tanpa kita sadari. Screenshot yang tidak penting, seperti bukti pembayaran atau informasi sementara, bisa memenuhi ruang penyimpanan dan membuat ponsel lebih lambat. Untuk mengatasi masalah ini, menghapus foto-foto screenshot secara rutin adalah langkah yang tepat agar memori ponsel tetap optimal. Salah satu cara mudah untuk membersihkan screenshot tidak penting adalah dengan menggunakan aplikasi Files by Google. Aplikasi ini membantu kamu menemukan dan menghapus file screenshot yang sudah tidak dibutuhkan. Selain itu, Files by Google juga memiliki fitur pembersihan otomatis yang membuat proses ini lebih cepat dan efisien. Lantas bagaimana cara menghapus foto screenshot yang menumpuk di HP Android? Selengkapnya berikut ini tutorialnya. Baca juga: 6 Cara Screenshot di HP Xiaomi, Mudah dan Praktis  Kompas.com/soffyaranti Ilustrasi cara hapus screenshot di HP Android Kompas.com/soffyaranti Ilustrasi cara hapus foto duplikat di hp android Itulah beberapa cara menghapus foto-foto screenshot tidak penting di HP Android menggunakan Files by Google dengan mudah. Selamat mencoba. Baca juga: Cara Hapus Foto-foto Duplikat di iPhone dengan Mudah Dapatkan update berita teknologi dan gadget pilihan setiap hari. Mari bergabung di Kanal WhatsApp KompasTekno.  Caranya klik link https://whatsapp.com/channel/0029VaCVYKk89ine5YSjZh1a. Anda harus install aplikasi WhatsApp terlebih dulu di ponsel.  ",https://tekno.kompas.com/read/2024/09/07/16110027/cara-hapus-foto-foto-screenshot-tidak-penting-di-hp-android-dengan-mudah-
"Pria di Bangkalan Dibacok Tetangga Usai Hadir Hajatan, Korban Luka Parah, Pelaku Serahkan Diri",Regional,Belum ditentukan,Bukan topik pilihan,2024-09-07 16:10:00,"Ghinan Salman, Krisiandi",Non Advertorial,"BANGKALAN, KOMPAS.com – Seorang pria berinisial M dilarikan ke RSUD Syamrabu Bangkalan, Jawa Timur, setelah mengalami luka bacok di betis, paha kanan, dan perut pada Jumat (6/9/2024) malam. Hingga hari ini, Sabtu (7/9/2024), korban masih menjalani perawatan intensif di rumah sakit daerah tersebut. Kapolsek Blega, Iptu Syamsuri, mengungkapkan, peristiwa penganiayaan tersebut terjadi sekitar pukul 19.00 WIB di Desa Nyormanis, Kecamatan Blega, yang berjarak cukup dekat dengan rumah warga yang sedang mengadakan hajatan. Baca juga: 2 Remaja di Kota Semarang Dibekuk Usai Bacok Anggota Geng Rival hingga Tewas ""Kejadiannya di Desa Nyormanis, korban maupun pelaku adalah warga setempat dan masih bertetangga. Kejadiannya saat mereka keluar dari rumah warga yang punya hajatan,"" ujar Syamsuri dikonfirmasi, Sabtu (7/9/2024). Menurut Syamsuri, pelaku menyerang korban dengan sebilah celurit saat korban baru keluar dari rumah tetangganya yang sedang hajatan. ""Korban mengalami luka parah pada bagian paha dan betis kanan, serta pada bagian perutnya dan sudah mendapat pertolongan medis,"" ujar dia. Adapun terkait motif pembacokanyang dilakukan pelaku, Syamsuri mengaku masih dilakukan pendalaman oleh Satreskrim Polres Bangkalan. Baca juga: Cemburu Istri Berselingkuh, Kakek di Probolinggo Bacok Tetangga Setelah melukai korban, lanjut Syamsuri, pelaku menyerahkan diri ke Polsek Blega. Saat ini, kasus tersebut kini ditangani oleh Satreskrim Polres Bangkalan. Ia menegaskan, penyidik masih mendalami kasus ini untuk mengungkap motif di balik aksi pembacokan tersebut. Beruntung, nyawa korban masih bisa diselamatkan. ""Untuk penanganan perkaranya ditangani Polres,"" tutur Syamsuri.",https://surabaya.kompas.com/read/2024/09/07/161046678/pria-di-bangkalan-dibacok-tetangga-usai-hadir-hajatan-korban-luka-parah
"Tiket PON XXI Sumut Gratis, Datang Langsung ke Venue",Regional,Belum ditentukan,Bukan topik pilihan,2024-09-07 16:09:00,"Rahmat Utomo, Gloria Setyvani Putri",Non Advertorial,"MEDAN, KOMPAS.com - Pengurus Besar Pekan Olahraga Nasional (PB PON) XXI Aceh-Sumatera Utara mengumumkan, tiket pertandingan PON di Sumut diberlakukan gratis. Para penonton bisa langsung datang ke sejumlah venue di hari pertandingan. Baca juga: Misbahul Munir Sumbang Medali Pertama untuk Papua Selatan di PON XXI Sekretaris Umum PB PON XXI Wilayah Sumut, Armand Effendy Pohan mengatakan, pengambilan tiket mulai diberlakukan, Minggu (8/9/2024). ""Kami menyediakan 30 sampai 50 persen dari kapasitas venue yang bisa didapatkan secara on the spot pada hari pertandingan,"" ujar Effendy dalam keterangan tertulisnya, Sabtu (7/9/2024) Effendi mengatakan, awalnya pemesanan tiket juga dilakukan gratis, namun dilakukan secara online melalui website pon2024.id. Namun selama 10 hari pertandingan berlangsung terjadi kendala. Baca juga: Dilarang Saat Tahun Baru, Kembang Api Bakal Hiasi Langit Banda Aceh pada Malam Pembukaan PON XXI Tiket selalu ludes terjual online tetapi fakta di lapangan bertolak belakang. Saat pertandingan berlangsung, penonton yang datang sepi. ""Karena itu, kami memutuskan menyediakan tiket on the spot. Jadi masyarakat yang belum memegang tiket tidak perlu takut untuk datang ke arena pertandingan. Silakan datang, nanti masyarakat bisa mendapatkan tiketnya di venue secara gratis,"" ujar Effendi.",https://medan.kompas.com/read/2024/09/07/160900778/tiket-pon-xxi-sumut-gratis-datang-langsung-ke-venue
Komisi X DPR: Mayoritas Lulusan di Indonesia Masih Tingkat SMP,Edu,Belum ditentukan,Bukan topik pilihan,2024-09-07 16:08:00,"Sania Mashabi, Mahar Prastiwi",Non Advertorial,"KOMPAS.com - Ketua Komisi X DPR Syaiful Huda mengatakan, saat ini mayoritas lulusan di Indonesia berasal dari jenjang Sekolah Menengah Pertama (SMP). Menurut Huda, hal itu tidak ada perbaikan selama lebih dari 15 hingga 20 tahun belakangan ini. ""Semuanya rata-rata lulusan sekolah kita per hari ini masih lulusan SMP belum bisa beranjak, dan ini sudah hampir 15 sampai 20 tahun,"" kata Huda dalam acara diskusi di Jakarta Selatan, Sabtu (7/9/2024). Huda mengatakan, jika dirincikan rata-rata lulusan itu bukan berasal siswa tingkat akhir, tetapi rata-rata putus sekolah ketika berada di kelas 2. Baca juga: Wakil Ketua Komisi X DPR: Perlu Ada Format Baru di PPDB Selain itu, kata Huda, angka partisipasi kasar (APK) atau angka pastisipasi pendidikan di Indonesia masih belum sesuai harapan. ""Hari ini partisipasi kasar kita di dunia pendidikan baru sampai pada 35,3 persen masih jauh dari harapan kita,"" ujarnya. Sementara itu, Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi (Mendikbud Ristek) Nadiem Makarim menegaskan, pihaknya sudah memiliki beberapa fokus program kerja prioritas pada tahun 2025.  Baca juga: RDPU Komisi X DPR, Iluni UI Dorong Reformulasi Anggaran Pendidikan  Salah satu program kerja prioritas tahun 2025 yang difokuskan Kemendikbud Ristek antara lain menekan angka anak tidak sekolah. ""Program-program prioritas yang punya dampak terbesar kepada masyarakat tentunya penanganan anak tidak sekolah,"" kata Nadiem dikutip dari akun YouTube Tv Parlemen, Jumat (6/9/2024). Nadiem mengatakan, Kemendikbud Ristek akan berusaha menekan angka anak tidak sekolah dengan berbagai macam intervensi. Baca juga: Wakil Ketua Komisi X DPR Sarankan 3 Opsi untuk Atasi Masalah PPDB Selain itu Kemendikbud, kata Nadiem, juga akan terus berkoordinasi dengan pemerintah daerah untuk menekan angka anak tidak sekolah. ""Dan kami terus koordinasikan dengan daerah,"" ucap Nadiem.",https://www.kompas.com/edu/read/2024/09/07/160842671/komisi-x-dpr-mayoritas-lulusan-di-indonesia-masih-tingkat-smp
KPU Pastikan Tetap Independen Meski Suami Salah Satu Komisionernya Ikut Pilkada,News,Nasional,Bukan topik pilihan,2024-09-07 16:07:00,"Tatang Guritno, Dani Prabowo",Non Advertorial,"DEPOK, KOMPAS.com - Komisioner Komisi Pemilihan Umum (KPU) RI Idham Kholik menyatakan pihaknya bakal tetap menjaga independensi meskipun suami salah satu komisioner, Betty Epsilon Idroos mengikuti Pemilihan Kepala Daerah (Pilkada) Serentak 2024. Suami Betty, Zukarnain Awat Amir tengah mencalonkan diri sebagai bakal calon bupati di Maluku Tengah. “Kami pastikan KPU tetap independen, KPU imparsial, tidak berpihak kepada salah satu pasangan calon atau calon,” sebut Idham di Lapangan Palakali, Kukusan, Depok, Sabtu (7/9/2024). Ia menuturkan, semua keputusan yang diambil oleh KPU pasti dirembug bersama dan disampaikan secara terbuka pada publik. Baca juga: Suami Maju Pilkada, Betty Epsilon Idroos Mundur dari Korwil Maluku KPU Idham mengklaim, mekanisme itu dilakukan agar publik dapat menilai integritas KPU dalam melaksanakan Pilkada Serentak 2024. “Semua pengambilan keputusan di KPU sifatnya terbuka, sifatnya publik, karena keputusan KPU sudah pasti akan berkaitan dengan publik secara luas,” ucapnya. Di sisi lain, ia mengungkapkan, Betty telah menyatakan bakal menjaga integritas selama penyelenggaraan pilkada. Idham mengaku percaya dengan pernyataan Betty untuk tidak ikut campur dalam proses kontestasi elektoral yang diikuti suaminya. “Saya percaya kepada teman saya, rekan saya, kolega saya, bahwa beliau akan menjaga integritas sebagai penyelenggara pemilu dan beliau sudah declare itu ke publik,” imbuh dia. Baca juga: KPU Belum Terima Surat dari KPK Soal Calon Kepala Daerah Berstatus Tersangka  Sebelumnya, Betty sudah menyatakan mundur dari posisinya sebagai koordinator wilayah (korwil) Maluku untuk Pilkada Serentak 2024. Ia mengatakan, langkah itu diambil untuk memastikan tak ada penyalahgunaan jabatan dan kewenangan terkait pencalonan suaminya di Pilkada Maluku tengah.",https://nasional.kompas.com/read/2024/09/07/16070091/kpu-pastikan-tetap-independen-meski-suami-salah-satu-komisionernya-ikut
"Petaka Judi Slot, Suami Bunuh Istri karena Tak Mau Bayari Utang",Regional,Belum ditentukan,Bukan topik pilihan,2024-09-07 16:05:00,Reza Kurnia Darmawan ,Non Advertorial,"KOMPAS.com - Judi slot yang kerap dimainkan pria berinisial H berakhir menjadi petaka bagi istrinya, N (31). H membunuh N karena tak mau membayari utangnya yang membengkak gara-gara judi slot. Peristiwa tersebut terjadi di Dusun Cikeuyeup, Desa Cilayung, Kecamatan Jatinangor, Kabupaten Sumedang, Jawa Barat, Jumat (6/9/2024). ""Pelaku kesal karena istrinya tidak mau membayarkan utangnya. Pelaku terlilit utang akibat kerap bermain judi slot online,"" ujar Kepala Satuan Reserse Kriminal (Kasat Reskrim) Kepolisian Resor (Polres) Sumedang AKP Uyun Saeful Uyun, Jumat, dikutip dari Tribun Jabar. Baca juga: Ibu Muda asal Jatinangor Ditemukan Tewas Tak Wajar di Kamarnya Di hari kejadian, pelaku menganiaya korban hingga tewas. Pelaku yang merupakan sekuriti sebuah dealer di Kota Bandung, Jawa Barat, ditangkap di hari yang sama. ""Pelaku ditangkap di Jatinangor, tanpa perlawanan,"" ucap Uyun. Jenazah korban ditemukan pertama kali oleh ayahnya pada Jumat pagi, ketika hendak membangunkan N untuk shalat Subuh. Uyun mengatakan, dalam olah tempat kejadian perkara, polisi menemukan luka memar pada leher korban. ""Selain itu, kami juga menemukan sejumlah luka lainnya di beberapa bagian tubuh lainnya,"" ungkapnya. Untuk mengungkap kasus, polisi meminta keterangan sejumlah saksi dan mencari barang bukti. Baca juga: Usai Nyabu, Pemuda di Deli Serdang Bunuh Ayahnya karena Tak Diajak Pindah Rumah Sumber: Kompas.com (Penulis: Aam Aminullah | Editor: Teuku Muhammad Valdy Arief) Sebagian artikel ini telah tayang di TribunJabar.id dengan judul Kesal karena Utang Judi Onlinenya Tak Dibayarkan, Pria di Jatinangor Sumedang Tega Habisi Istrinya",https://bandung.kompas.com/read/2024/09/07/160555878/petaka-judi-slot-suami-bunuh-istri-karena-tak-mau-bayari-utang
"Kisah Tri Wahyuni Raih 3 Emas Cabor Senam, ""Dendam"" PON Papua Terbayar Lunas di Medan",Regional,Belum ditentukan,Bukan topik pilihan,2024-09-07 16:04:00,"Tri Purna Jaya, Gloria Setyvani Putri",Non Advertorial,"LAMPUNG, KOMPAS.com - ""Kamu all around emas...!"" Sepatah kalimat tersebut mengguncang Tri Wahyuni (24) atlet senam Provinsi Lampung pada hari pertama gelaran PON XXI Aceh-Sumatera Utara (Sumut) di GOR Mini Dispora Sumut, Deli Serdang pada Selasa (3/9/2024). Tangis haru Tri sontak pecah seketika mendengar kalimat itu dari sang pelatih. Dipeluknya erat tubuh sang pelatih. Tangisnya makin pecah saat atlet lain menyalaminya. Baca juga: Misbahul Munir Sumbang Medali Pertama untuk Papua Selatan di PON XXI Medali emas pertama telah berada di genggaman dari cabang olahraga (cabor) senam ritmik. ""Saya langsung nangis di tempat, memeluk pelatih saya,"" kata Tri dengan terbata-bata saat ditelepon, Sabtu (7/9/2024) siang. Gadis yang merupakan warga Kelurahan Kaliawi, Bandar Lampung ini tidak menyangka akan mendapatkan medali emas di cabor senam ritmik nomor all around itu. Para pesaing di nomor all around ini termasuk berat, karena diikuti oleh atlet dari DKI Jakarta, Jawa Barat, hingga Jawa Timur. ""Karena ada pesenam muda dan senior berpengalaman. Bagus-bagus semua itu,"" katanya. Nomor all around ini seperti menjadi ""dendam kesumat"" Tri. Hasratnya untuk mendapatkan medali emas di nomor ini begitu menggebu. Pada nomor ini di PON Papua lalu, Tri gagal mendapatkan medali. ""Cita-cita saya. Karena PON kemarin (PON Papua) saya nggak dapat emas kan... Saya hanya dapat perak dan perunggu,"" katanya. Begitu besar ""dendam"" itu ditanggung oleh Tri selama 3 tahun sejak gelaran PON XX Papua di tahun 2021 itu. Bahkan, di setiap sesi latihan, Tri selalu bertanya kepada pelatihnya, apakah dia bisa mendapatkan medali emas di nomor ini. ""Bisa nggak mba dapat emas. Saya selalu bilang (bertanya) kayak gitu. Pelatih saya bilang bisa, selama saya mau kerja ekstra keras,"" katanya. Karena itu, Tri terus berlatih dengan keras dan fokus pada gerakan-gerakan yang dia rasa kurang ""sreg"". Kedua pelatihnya, Yulianti dan Inawati pun tidak segan-segan terhadap Tri. ""Musik saya kan 1 menit 30 detik. Begitu selesai, saya tanya atau pelatih saya rasa kurang, diulang setengah, selesai diulang lagi,"" kata Tri yang berlatih selama 8 jam sehari sejak berumur 10 tahun itu. Baca juga: Dilarang Saat Tahun Baru, Kembang Api Bakal Hiasi Langit Banda Aceh pada Malam Pembukaan PON XXI",https://regional.kompas.com/read/2024/09/07/160430578/kisah-tri-wahyuni-raih-3-emas-cabor-senam-dendam-pon-papua-terbayar-lunas
