judul,topik,sub_topik,topik_pilihan,tanggal_waktu_publish,redaksi,advetorial,isi_berita,link,topik_pilihan_link
Guru SMA Cianjur Ternyata Sudah 3 Kali Lakukan Kekerasan ke Siswanya,Regional,,,"06/09/2024, 16:23 WIB","Firman Taufiqurrahman, David Oliver Purba",,"CIANJUR, KOMPAS.com - Guru SMA Negeri 2 Cianjur, Jawa Barat, SM (55), ternyata sudah tiga kali melakukan kekerasan terhadap siswanya. Hal itu terungkap dalam rapat tertutup antara Dinas Pendidikan Provinsi Jawa Barat Kantor Cabang Wilayah V dengan pihak sekolah di SMAN 2 Cianjur, Jumat (6/9/2024). Baca juga: Oknum Guru SMA di Cianjur Diduga Pukul Siswa, Disdik Jabar Turun Tangan Kepala Kantor Cabang Dinas Pendidikan Provinsi Jawa Barat Wilayah V Nonong Winarni mengatakan, SM pernah melakukan tindakan serupa pada 2019 dan 2022. Baca juga: Oknum Guru SMAN 2 Cianjur yang Pukul Siswa Dinonaktifkan dari Tugas Mengajar Namun, karena ada kesepakatan perdamaian dari kedua belah pihak, maka kasusnya diselesaikan secara musyawarah. Adapun SM berjanji tidak akan mengulangi perbuatannya. ""Bahkan yang di 2022 sampai di BAP, dilaporkan ke Disdik Jabar. Namun, guru bersangkutan masih diberikan kesempatan untuk mengajar karena kami pikir tidak akan terulang lagi, ternyata kemarin terjadi lagi,"" ungkap Nonong kepada Kompas.com di SMAN 2 Cianjur, Jumat. Terkait informasi yang berkembang perihal perangai SM yang dikenal sebagai sosok guru yang temperamental, Nonong tidak dapat memastikan hal tersebut. ""Tidak bisa menyimpulkan, ya, karena itu asumsi-asumsi. Tapi, kalau rumor memang ada. Pastinya, terkait kejadian ini, yang bersangkutan telah melakukan pelanggaran indisipliner dan kode etik,"" ujar dia. Nonong mengatakan, dari hasil rapat dengan pihak sekolah hari ini, akan menjadi bahan laporan ke Dinas Pendidikan Provinsi Jawa Barat untuk ditindaklanjuti. ""Sembari menunggu keputusannya nanti, tadi kita sepakat yang bersangkutan untuk tidak diberikan jam mengajar dulu,"" ujar Nonong. Sebelumnya diberitakan, video kekerasan di lingkungan sekolah yang melibatkan oknum guru beredar luas melalui pesan berantai dan viral di media sosial. Dalam video berdurasi 17 detik itu, tampak guru perempuan menarik, memukul, dan mendorong tubuh siswa sambil diiringi teriakan. Dari keterangan terkait video tersebut, peristiwa itu terjadi di SMA Negeri 2 Cianjur saat kegiatan belajar di kelas XI.",https://bandung.kompas.com/read/2024/09/06/162324578/guru-sma-cianjur-ternyata-sudah-3-kali-lakukan-kekerasan-ke-siswanya,
Erick Thohir: Poin Berharga dari Markas Arab Saudi,Bola,Timnas Indonesia,,"06/09/2024, 16:23 WIB","Tim Kompas.com, Ferril Dennys",,"KOMPAS.com - Ketua Umum PSSI, Erick Thohir, memberikan apresiasi tinggi kepada timnas Indonesia setelah mereka berhasil mencuri poin dalam pertandingan melawan Arab Saudi. Dalam pertandingan yang digelar di Stadion King Abdullah Sports City, Jeddah, pada Jumat (6/9), hasil akhir berimbang 1-1 menunjukkan kemampuan luar biasa timnas. Meskipun berada di peringkat yang lebih rendah dibandingkan lawan, skuad Garuda mampu memberikan perlawanan.  Baca juga: Tiga Fakta Timnas Indonesia Tahan Imbang Arab Saudi, Modal Positif Hadapi Australia Tim asuhan Shin Tae-yong membuat kejutan dengan membuka skor lebih dulu lewat gol Ragnar Oratmangoen di menit ke-19. Keunggulan itu sirna ketika Musab Al Juwayr menyamakan kedudukan menjelang akhir babak pertama. Erick Thohir mengungkapkan rasa bangga atas perjuangan tanpa henti yang ditunjukkan oleh para pemain, menekankan pentingnya poin yang didapat dari tim yang lebih diunggulkan. “Poin berharga dari markas Arab Saudi, yang menempati posisi 56 di ranking FIFA dan merupakan peserta Piala Dunia,” kata Thohir di akun Instagram-nya. Setelah hasil tersebut, peringkat timnas Indonesia di ranking FIFA dipastikan naik.   Selanjutnya, Indonesia akan menjamu Australia pada laga kedua. Pertandingan Indonesia vs Australia akan digelar di Stadion Utama Gelora Bung Karno, Selasa (10/9/2024). ",https://bola.kompas.com/read/2024/09/06/16230048/erick-thohir--poin-berharga-dari-markas-arab-saudi,
"Mundur sebagai Sespri Iriana Jokowi demi Pilkada Bogor 2024, Sendi: Ibu Negara Mendoakan yang Terbaik",News,Megapolitan,,"06/09/2024, 16:22 WIB","Ruby Rachmadina, Irfan Maullana",,"BOGOR, KOMPAS.com - Sendi Fardiansyah resmi mengundurkan diri dari posisinya sebagai sekretaris pribadi Ibu Negara Iriana Jokowi untuk maju sebagai bakal calon wali kota Bogor dalam Pilkada 2024. Dalam pernyataannya, Sendi mengatakan bahwa Ibu Negara memberikan dukungan moral serta doa untuk langkah politiknya. ""Ibu Negara hanya mendoakan semoga mendapatkan yang terbaik,"" ujar Sendi saat dihubungi Kompas.com, Jumat (6/9/2024). Proses pengunduran diri ini dimulai dengan pengajuan surat resmi ke Sekretariat Kabinet (Setkab), dilanjutkan ke Sekretariat Negara (Setneg), dan Badan Kepegawaian Negara (BKN). Baca juga: Maju Pilkada Bogor, Sendi Fardiansyah Tak Lagi Jadi Sespri Iriana Jokowi Surat Keputusan Menteri Sekretaris Negara akhirnya menetapkan pemberhentiannya sejak 1 Agustus 2024. Sendi memutuskan mundur dari Istana untuk fokus pada pencalonannya sebagai wali kota Bogor. Ia telah mendaftarkan diri ke Komisi Pemilihan Umum (KPU) Kota Bogor bersama Melli Darsa sebagai pasangan bakal calon wali kota dan wakil wali kota Bogor. Pencalonannya mendapat dukungan dari partai-partai besar, yakni Nasdem, Golkar, dan PSI, yang memperkuat posisinya di panggung politik Bogor. Memasuki masa kampanye, Sendi berencana meniru gaya blusukan Presiden Joko Widodo dengan turun langsung mendengarkan aspirasi masyarakat. Baca juga: Ingin Bogor Hepi, Sendi Fardiansyah Sodorkan 9 Program Prioritas pada Pilkada 2024 ""Kami kemarin sudah mulai turun ke masyarakat lagi. Kemarin di Kelurahan Bondongan dan Kelurahan Gudang, total ada delapan yang kami datangi,"" katanya. Pada Pilkada Kota Bogor 2024, Sendi akan bersaing dengan beberapa tokoh, termasuk mantan wakil wali kota Bogor Dedie Rachim, Ketua DPRD Kota Bogor Atang Trisnanto, Dokter Rayendra, dan mantan Kepala Dinas PUPR Kota Bogor Rena Da Frina. Meski persaingan ketat, Sendi tetap optimis. ""Semakin optimis, dengan lima paslon peluang jadi terbuka,"" ujarnya.",https://megapolitan.kompas.com/read/2024/09/06/16224611/mundur-sebagai-sespri-iriana-jokowi-demi-pilkada-bogor-2024-sendi-ibu,
"Video Viral, Truk Zig-zag dan Oleng Hampir Menimpa Pengendara Motor",Otomotif,Feature,,"06/09/2024, 16:21 WIB","Donny Dwisatryo Priyantoro, Azwar Ferdian",,"JAKARTA, KOMPAS.com - Berkendara secara ugal-ugalan dilakukan sangat berbahaya, apalagi bila menggunakan truk. Belum lama ini, beredar video viral di media sosial yang memperlihatkan truk oleng hingga hampir menimpa pengendara motor di sebelahnya. Pada video yang diunggah oleh akun media sosial X @Heraloebss, Rabu (4/9/2024), terlihat sopir truk melaju dengan zigzag hingga nyaris terguling ke kiri. Sementara di sisi kirinya, terdapat pengendara motor yang sedang berboncengan. Baca juga: Tips Aman Berkendara di Antara Truk Besar ""Kalo yang Modyar Supir Trucknya sih ga papa, tapi kalo yang tewas pengguna jalan lain mending Bakar saja Supir dan Trucknya. Halow apa kabar Fungsi Pengawasan dan Penindakan?"" tulis keterangan pada unggahan tersebut. Kalo yang Modyar Supir Trucknya sih ga papa, tapi kalo yang tewas pengguna jalan lain mending Bakar saja Supir dan Trucknya  Halow apa kabar Fungsi Pengawasan dan Penindakan? pic.twitter.com/NRDQJOMvlj Training Director Safety Defensive Consultant Indonesia (SDCI) Sony Susmana, mengatakan, ada truk yang jalan normal saja sudah berbahaya, apalagi yang jalannya berulah. ""Truk atau bus yg berlagak seperti pada video, menurut saya, sudah membahayakan. Biasanya pengemudi tersebut mabuk atau dalam gangguan jiwa,"" ujar Sony, saat dihubungi Kompas.com, belum lama ini. Baca juga: Video Sopir Truk Salah Baca Kode Sein Bus Saat Menyalip ""Enggak mungkin pengemudi yang waras dan berkompeten melakukan tindakan-tindakan berbahaya. Sebab, pengemudi-pengemudi yang bertanggung jawab, pola pikirnya sudah mencari nafkah untuk keluarga,"" kata Sony. Dok. @Heraloebss Video viral di media sosial, fenomena Truk Oleng Sony menambahkan, bila sedang berkendara lalu bertemu dengan truk yang berulah seperti video viral tersebut atau melakukan tindakan yang membahayakan, sebaiknya tunggu hingga truk tersebut menjauh. ""Sebab, kalau kita tinggalkan atau dahului, ada kemungkinan ketemu lagi di depan,"" ujarnya.",https://otomotif.kompas.com/read/2024/09/06/162100115/video-viral-truk-zig-zag-dan-oleng-hampir-menimpa-pengendara-motor,
"Jelang Liga 2 2024 Persipura Diam-Diam Siap Tempur, Kembalikan Boaz Solossa",Bola,Liga Indonesia,,"06/09/2024, 16:20 WIB","Suci Rahayu, Ferril Dennys",,"  KOMPAS.com - Setelah lama tak terdengar kabarnya, menjelang bergulirnya Liga 2 2024-2025 Persipura Jayapura akhirnya memastikan diri ikut berkompetisi. Tim pun telah terbentuk dan melakukan persiapan yang langkahnya terbilang diam-diam. Seperti situasi musim lalu yang kembali terulang kembali. Tim asuhan pelatih Ricardo Salampessy baru memulai persiapan lima hari menjelang kick-off. Namun, optimisme tetap terpancar dari klub kebanggaan masyarakat Papua ini. “Persipura Jayapura siap untuk mengikuti kompetisi Liga 2, pemain sudah melakukan kontrak,"" kata Ketua Umum Persipura, Benhur Tomi Mano. ""Mohon doa dan dukungan kepada pecinta sepakbola dan masyarakat Papua untuk mendukung Persipura di Liga 2,” imbuhnya. Baca juga: Jelang Kickoff Liga 2, Erick Thohir Akan Sikat jika Klub Main Sabun Selain itu kejutan besar pun datang di awal musim ini. Manajemen secara resmi mengumumkan kembalinya legenda sepak bola Papua, Boaz Solossa untuk memperkuat Persipura. Setelah melakukan komunikasi intens, akhirnya tanda tangan kontrak pun telah dilakukan untuk menjadi bagian dari tim yang telah membesarkan namanya. ""Ini sesuatu yang luar biasa dan diharapkan oleh pendukung Persipura dan seluruh masyarakat Papua. Saya berterimakasih kepada Boaz, karena mau membantu Persipura,"" ujar pria yang biasa disapa BTM. Sementara itu manajer Persipura Abisai Rollo, menyebut kembalinya mantan pemain Timnas tersebut dengan motivasi tinggi dan komitmen kuat untuk membawa Persipura kembali bersinar di musim ini. Boaz Solossa dijadwalkan bergabung menyusul tim yang sudah lebih dulu berada di Surabaya, Sabtu (7/9/2024). Dengan kehadiran sang kapten legendaris ini, ia berharap bisa menjadi dorongan moral bagi tim dan mengangkat performa di lapangan. Baca juga: Saat Boaz Solossa Tegur Wasit di Tengah Pertandingan... ""Boaz punya motivasi dan komitmen yang positif untuk kembali dengan kita, dia juga sudah siap untuk kembali menjadi 'Jenderal'untuk pasukan Merah Hitam,"" tutur Abisai Rollo. ""Kita berharap kehadiran Boaz bisa meningkatkan semangat tim dan performa, mohon dukungan doa semuanya,"" pungkasnya. Pada Liga 2 2024-2025 musim ini, Persipura Jayapura tergabung dalam Grup 3. Bersama RANS Nusantara FC, Persibo Bojonegoro, Persela Lamongan, Gresik United, Deltras FC, Persipal Palu, dan Persewar Waropen. Tim akan menjalani laga perdana dengan tandang melawan RANS Nusantara FC yang akan berlangsung di Stadion Untung Suropati Pasuruan, Minggu (8/9/2024) sore.  ",https://bola.kompas.com/read/2024/09/06/16204418/jelang-liga-2-2024-persipura-diam-diam-siap-tempur-kembalikan-boaz-solossa,
"Temui Komunitas, Pramono Anung Diteriaki ""Mas Pram, Bang Doel, Jakarta Menyala!""",News,Megapolitan,,"06/09/2024, 16:18 WIB","Shinta Dwi Ayu, Ambaranie Nadia Kemala Movanita ",,"JAKARTA, KOMPAS.com - Bakal calon gubernur (bacagub) Jakarta Pramono Anung bertemu dengan Komunitas Pejuang Perempuan (KJP) di Gelanggang Remaja, Jakarta Utara, Jumat (6/9/2024). Pramono tiba di lokasi sekitar pukul 13.45 WIB. Ia mengenakan baju koko berwarna hitam lengan pendek yang dipadupadankan dengan celana hitam dan sepatu hijau tua. Baca juga: Sempat Bertemu Prabowo di Istana, Pramono Anung: Hubungan Kami Sangat Baik Ketika turun dari mobil, anggota DPRD daerah pemilihan (dapil) II DKI Jakarta, Jhonny Simanjuntak, ikut menyambut Pramono. Jhonny langsung mengajak Pramono memasuki ruangan auditorium dan disambut ratusan anggota KJP yang sudah duduk rapi di bangku masing-masing. Ratusan anggota KJP kompak mengenakan kemeja putih, celana hitam, dan hijab atau slayer berwarna merah. Saat Pramono memasuki ruangan, anggota KJP langsung berdiri dan memberikan salam kepada Pramono. ""Mas Pram, Bang Doel, Jakarta Menyala!"" teriak para anggota KJP kompak, Jumat. Setelah menyalami beberapa anggota, Pramono langsung duduk di bangku paling depan menghadap ke para anggota KJP. Kemudian, Pramono bersama para anggota KJP diminta berdiri untuk menyanyikan lagu Indonesia Raya. Setelahnya, beberapa perwakilan anggota dari kelurahan Jakarta Utara memperkenalkan diri satu per satu kepada Pramono. Baca juga: Jadi Ketua Tim Pemenangan Pramono-Rano, Cak Lontong Dianggap Komedian yang Cerdas Acara selanjutnya, Jhonny Simanjuntak memperkenalkan Pramono kepada para anggota KJP. Di hadapan ratusan orang, Jhonny membongkar sifat asli Pramoni. ""Mas pramono kalau kerja efisien, dan efektif, tidak bertele-tele, ya, ya, tidak. Walaupun beliau pintar, walau menjadi menteri mereka tetap tawadu,"" ujar Jhonny. Mendengar itu, ratusan warga Jakarta Utara pun kompak bertepuk tangan. Tak lama dari itu, Pramono langsung memberi sambutan. Dalam sambutannya, ia mengaku begitu merinding melihat antusias anggota KJP saat menyambutnya. ""Saya merinding melihat mata-matanya betapa inginnya mereka saya memimpin Jakarta,"" ujar Pramono.",https://megapolitan.kompas.com/read/2024/09/06/16183691/temui-komunitas-pramono-anung-diteriaki-mas-pram-bang-doel-jakarta,
Wapres Minta Transportasi Publik Terjangkau untuk Semua,News,Nasional,,"06/09/2024, 16:18 WIB","Irfan Kamil, Bagus Santosa",,"JAKARTA, KOMPAS.com - Wakil Presiden RI Ma'ruf Amin meminta agar transportasi publik di Indonesia dapat menjangkau seluruh lapisan masyarakat dengan tarif yang sesuai kemampuan. ""Transportasi publik harus menjangkau seluruh lapisan masyarakat dengan tarif yang sesuai,"" kata Wapres dalam pengarahan pada acara pembukaan Hub Space 2024, di Jakarta International Expo Convention Center and Theatre, Jakarta, Jumat (6/9/2024). Baca juga: Wapres Ajak Dunia Internasional Kerja Sama di Bidang Teknologi Hijau Wapres menuturkan, pengembangan transportasi di negara seluas Indonesia tidak terlepas dari peran strategis pemerintah daerah. Oleh sebab itu, pemerintah daerah dinilai turut bertanggung jawab mulai dari perencanaan, pengelolaan, hingga pengendalian kemacetan. Ma'ruf Amin pun meminta berbagai pihak yang terkait dapat mempercepat pembangunan transportasi publik yang efisien, merata, dan berkelanjutan. ""Penggunaan aplikasi digital dalam sistem transportasi cerdas harus semakin diperluas, dan perencanaan transportasi masa depan harus memperhitungkan dampak terhadap lingkungan yang ditimbulkan,"" kata Wapres. Baca juga: Wapres Klarifikasi Aturan Kontrasepsi Remaja di Hadapan Kiai Madura, Akui Ada Multitafsir Sebagai informasi, Hub Space adalah acara yang diselenggarakan Kementerian Perhubungan (Kemenhub) untuk memaparkan kinerja dan pencapaian sektor transportasi. Kegiatan yang berlangsung pada 6-7 September 2024 ini juga memberikan apresiasi kepada pihak-pihak yang berkontribusi besar terhadap pencapaian tersebut. Hub Space 2024 terdiri dari beberapa kegiatan, antara lain Hub Expo, Hub Travel, Hub Talks, Hub Awards, serta Hub Fest.",https://nasional.kompas.com/read/2024/09/06/16182661/wapres-minta-transportasi-publik-terjangkau-untuk-semua,
Pramono Anung Sebut Ahok Akan Bantu Pemenangan Pilkada Jakarta meski Tak Masuk Timses,News,Megapolitan,Pilkada 2024,"06/09/2024, 16:17 WIB","I Putu Gede Rama Paramahamsa, Fitria Chusna Farisa",,"JAKARTA, KOMPAS.com - Bakal calon gubernur Jakarta Pramono Anung menyebut, mantan Gubernur DKI Jakarta Basuki Tjahaja Purnama atau Ahok akan membantu pemenangannya pada Pilkada Jakarta 2024 kendati tak masuk tim kampanye.  ""Untuk tim pemenangan kali ini, ya beliau tidak perlu masuk dalam tim, tetapi beliau akan membantu,"" kata Pramono saat ditemui di Masjid Agung Sunda Kelapa, Jakarta Pusat, Jumat (6/9/2024). Pramono mengatakan, Ahok telah ditugaskan oleh PDI Perjuangan untuk membantu pemenangan Pilkada di seluruh Indonesia, termasuk di Jakarta.  ""Tetapi untuk tim pemenangan kali ini, ya beliau tidak perlu masuk dalam tim tetapi beliau akan membantu,"" tambah Pramono. Baca juga: Sempat Bertemu Prabowo di Istana, Pramono Anung: Hubungan Kami Sangat Baik Adapun tim pemenangan Pramono-Rano Karno pada Pilkada Jakarta 2024 diketuai oleh Lies Hartono atau Cak Lontong.  Pramono menyebut, Cak Lontong dipilih demi mewujudkan politik riang gembira pada Pilkada Jakarta. ""Seperti yang saya katakan bahwa politiknya adalah politik riang gembira, merangkul, tidak kemudian tone-nya itu tone yang seperti pada pilgub-pilgub sebelumnya di Jakarta,"" tutup dia. Adapun pada Pilkada Jakarta 2024, Pramono berpasangan dengan Rano Karno. Dua kader PDI Perjuangan itu diusung oleh PDI-P dan didukung Partai Hanura. Pramono-Rano saat ini masih berstatus sebagai bakal pasangan calon gubernur dan wakil gubernur Jakarta. Demikian pula dengan Ridwan Kamil-Suswono dan Dharma Pongrekun-Kun Wardana. Pasangan calon kepala daerah akan ditetapkan Komisi Pemilihan Umum (KPU) pada 22 September 2024. Tahapan pilkada memasuki masa kampanye selama 25 September-23 November 2024. Kemudian, sebelum memasuki hari pemungutan suara, 24-26 November 2024 ditetapkan sebagai masa tenang. Hari pemungutan suara Pilkada 2024 akan digelar secara serentak di seluruh Indonesia pada 27 November 2024. Baca juga: Jadi Ketua Tim Pemenangan Pramono-Rano, Cak Lontong Dianggap Komedian yang Cerdas",https://megapolitan.kompas.com/read/2024/09/06/16174671/pramono-anung-sebut-ahok-akan-bantu-pemenangan-pilkada-jakarta-meski-tak,https://indeks.kompas.com/topik-pilihan/list/9032/pilkada-2024
Serangan Udara Junta Myanmar Tewaskan 11 Warga Sipil,Global,,,"06/09/2024, 16:17 WIB",Albertus Adit,,"NAYPYIDAW, KOMPAS.com - Serangan udara Junta Myanmar di negara bagian Shan utara pada Jumat (6/9/2024) menewaskan 11 warga sipil. Bahkan serangan itu juga melukai 11 orang lainnya. Demikian dikatakan juru bicara kelompok bersenjata etnis minoritas yang memerangi junta kepada AFP. Diketahui, Junta memerangi oposisi bersenjata yang meluas terhadap kudeta 2021 dan tentaranya dituduh melakukan serangan berdarah serta menggunakan serangan udara dan artileri untuk menghukum masyarakat sipil. Baca juga: Kelompok Bersenjata Myanmar Setuju Gencatan Senjata 4 Hari dengan Militer ""Mereka mengebom dua daerah di kota Namhkam pada Jumat sekitar pukul 01.00 waktu setempat,"" kata Lway Yay Oo dari Tentara Pembebasan Nasional Ta'ang (TNLA). Menurutnya, serangan itu menewaskan 11 orang dan melukai 11 lainnya. Selain itu, kantor partai politik setempat juga telah rusak. ""Yang tewas adalah lima pria, empat wanita, dan dua anak-anak,"" imbuh dia. Namhkam berjarak sekitar lima kilometer dari perbatasan dengan Provinsi Yunnan di China, dengan pejuang TNLA mengeklaim menguasai kota tersebut setelah pertempuran selama berminggu-minggu tahun lalu. Diketahui, sejak tahun lalu, militer telah kehilangan sebagian besar wilayah di dekat perbatasan dengan China di negara bagian Shan utara akibat aliansi kelompok etnis minoritas bersenjata dan ""Pasukan Pertahanan Rakyat"" yang bertempur untuk menggulingkan kudeta. Kelompok-kelompok tersebut telah merebut komando militer regional dan menguasai penyeberangan perdagangan perbatasan yang menguntungkan. Namun memicu kritik publik yang jarang terjadi oleh para pendukung militer terhadap pimpinan tertinggi junta. Awal minggu ini, kepala junta Min Aung Hlaing memperingatkan warga sipil di wilayah yang dikuasai oleh kelompok etnis minoritas bersenjata untuk bersiap menghadapi serangan balik militer. Baca juga: 2 Orang Tewas akibat Berdesakan Saat Mengantre di Kantor Paspor Myanmar Junta juga mengumumkan minggu ini bahwa mereka telah menyatakan TNLA sebagai organisasi ""teroris"". Mereka yang kedapatan mendukung atau menghubungi TNLA dan dua kelompok bersenjata etnis minoritas lainnya, Tentara Arakan (AA), Tentara Aliansi Demokratik Nasional Myanmar (MNDAA), kini dapat menghadapi tindakan hukum.",https://www.kompas.com/global/read/2024/09/06/161700670/serangan-udara-junta-myanmar-tewaskan-11-warga-sipil,
"Pernah Transfer Teuku Ryan Rp 500 Juta, Dokter Shindy Kakak Ria Ricis Akhirnya Klarifikasi",Hype,,,"06/09/2024, 16:15 WIB",Andika Aditia,,"KOMPAS.com – Salah satu kakak YouTuber Ria Ricis, dokter Shindy akhirnya mengklarifikasi kabar yang menyebut dirinya pernah mentransfer uang sebesar Rp 500 juta ke Teuku Ryan. Dokter Shindy mengakui dirinya memang benar mengirimkan uang sebesar Rp 500 juta kepada Teuku Ryan yang saat itu masih berstatus suami Ria Ricis.   Baca juga: Teuku Ryan Tegaskan Tak Mau Terima Uang Rp 500 Juta Andai Sejak Awal Tahu dari Ria Ricis Namun, kata Shindy, transfer uang sebesar Rp 500 juta itu atas dasar permintaan Ria Ricis. “Ini aku pertama kali klarifikasi. Kalau itu pagi-pagi Ricis WA aku, minta bantuin untuk transferin ke Teuku Ryan, tapi diminta jangan bilang ke Ryan kalau itu dari Ricis,” kata dokter Shindy seperti dikutip dari tayangan FYP Trans7, Jumat (6/9/2024). Meski sempat anomali, Shindy melihat apa yang dilakukan Ria Ricis saat itu sebagai bentuk kasih sayang kepada Teuku Ryan. Baca juga: Ria Ricis Sekarang Sibuk Mengajar Murid TK Usai Bercerai dengan Teuku Ryan Saat itu, kata Shindy, Ria Ricis tak tega melihat Teuku Ryan tengah gelisah ihwal menafkahi keluarganya.“Kalau aku lihat saat itu sebagai bentu cintanya Ricis ke Ryan, karena Ricis bilang lagi sedih, butuh semangat untuk menafkahi istrinya,” ucap Shindy.Dokter Shindy mengungkapkan, alasan ia mau membantu karena khawatir uang sebesar itu akan diselewengkan apabila dikirimkan melalui orang yang salah. Baca juga: Salinan Putusan Cerainya Sudah Diakses 600.000 Kali, Pihak Teuku Ryan Dalami Motif yang Mengunggah “Kan nilainya gede, kalau minta tolong ke orang lain takutnya enggak Amanah, makanya aku bantuin,” kata Shindy. Kemudian, uang sebesar Rp 500 juta akhirnya ditransfer ke Teuku Ryan dengan dalih sebagai bentuk tawaran kerja sama dengan sebuah produk yang mana Teuku Ryan jadi brand ambassador-nya. “Jadi aku transfer dengan dalih sebagai perjanjian kerja, Ria Ricis mintanya begitu,” ucap Shindy. Baca juga: Ada Hak Privasi yang Dilanggar, Pihak Teuku Ryan Sayangkan PA Jakarta Selatan Unggah Salinan Putusan Cerai Secara Utuh ke Web Ada pun, uang Rp 500 juta ini sempat menjadi polemik dan heboh saat persidang cerai Ria Ricis dan Teuku Ryan bergulir. Persoalan uang Rp 500 juta itu ramai setelah isi putusan gugatan cerai Teuku Ryan dan Ria Ricis beredar di media sosial. Dalam keterangannya terdapat pernyataan dari penggugat yaitu Ria Ricis, yang mengirimkan uang Rp 500 juta pada Teuku Ryan karena mendiamkan Ricis selama satu minggu dengan alasan tidak memiliki uang. Baca juga: Oki Setiana Dewi Tetap Anggap Teuku Ryan sebagai Adik meski Telah Bercerai dengan Ria Ricis   Teuku Ryan menyebut dirinya sendiri tak tahu ihwal kiriman uang Rp 500 juta itu. Dan mengaku tak akan menerimanya jika tahu dari awal. Saat itu kakak dokter Shindy kakak Ria Ricis mengatakan uang tersebut merupakan endorse dari suatu merek. Tanpa curiga, Teuku Ryan yang memang sedang membutuhkan uang itu untuk acara tujuh bulanan anaknya, merasa bahagia. Baca juga: Bantah Body Shaming hingga Buat Ria Ricis Ingin Implan Payudara, Teuku Ryan: Itu Sekedar Becandaan Ria Ricis dan Teuku Ryan saat ini sudah resmi berpisah setelah Pengadilan Agama Jakarta Selatan memutus cerai pada 3 Mei 2024. Ria Ricis dan Teuku Ryan menikah pada 12 November 2021 dan memutuskan berpisah setelah hampir tiga tahun menikah.   ",https://www.kompas.com/hype/read/2024/09/06/161539866/pernah-transfer-teuku-ryan-rp-500-juta-dokter-shindy-kakak-ria-ricis,
Letak Meterai Tempel Sebelah Kiri atau Kanan Dokumen CPNS 2024?,Edu,,,"06/09/2024, 16:15 WIB","Sandra Desi Caesaria, Mahar Prastiwi",,"KOMPAS.com - Badan Kepegawaian Negara atau BKN kini memperbolehkan pelamar Calon Pegawai Negeri Sipil atau CPNS 2024 menggunakan meterai tempel. Penggunaan meterai tempel ini sebagai solusi bagi pelamar yang kesusahan mendapatkan e-meterai CPNS 2024. Termasuk mereka yang kesulitan pembubuhan dokumen. Ketentuan ini mulai berlaku sejak Kamis, (5/9/2024) pukul 20.00 WIB. ""Mulai malam ini, pukul 20.00 WIB, pelamar CPNS 2024 diperbolehkan menggunakan meterai tempel atau e-meterai,"" tulis akun @bkngoidofficial, pada Kamis, (5/9/2024). Baca juga: Cara Tanda Tangan di Atas Meterai Tempel buat CPNS 2024 BKN menyebut, meterai tempel digunakan dengan cara mengikuti Peraturan Menteri Keuangan Republik Indonesia nomor 134 /PMK.03/202. Jika pelamar sudah memiliki e-meterai CPNS 2024, masih bisa menggunakannya. Karena pilihan meterai tempel adalah opsi bagi pelamar yang tak mendapatkan e-meterai akibat server Peruri down diakhir pendaftaran CPNS 2024. Lalu jika diperbolehkan pakai meterai tempel, disebelah mana meterai tempel digunakan? Letak meterai tempel, berada di bawah sebelah kiri tengah dokumen. Namun tidak mepet dengan pinggiran dokumen. Posisinya sebelah kiri tanda tangan pelamar. Tetapi, tanda tangan pelamar harus menimpa sebagian meterai tempel. Baca juga: Beasiswa Bill Gates 2025 Dibuka, Kuliah S2-S3 Tunjangan Rp 405 Juta Tanda tangan tidak menimpa semua bagian meterai. Tanda tangan, posisinya lebih condong di sebelah kanan meterai. Cara tanda tangan di atas meterai tempel termuat dalam pasal 4 aturan di atas. Berikut rinciannya: 1. Meterai Tempel direkatkan seluruhnya dengan utuh dan tidak rusak di tempat Tanda Tangan akan dibubuhkan; dan 2. Tanda tangan dibubuhkan sebagian di atas kertas dan sebagian di atas meterai tempel disertai dengan pencantuman tanggal, bulan, dan tahun dilakukannya penandatanganan. Jadi, tanda tangan yang benar harus di atas kertas dan mengenai sedikit bagian meterai. Bukan seluruh tanda tangan di atas meterai tempel. 3. Letak meterai tempel sama dengan e-meterai. Yaitu sebelah kiri tanda tangan.",https://www.kompas.com/edu/read/2024/09/06/161514871/letak-meterai-tempel-sebelah-kiri-atau-kanan-dokumen-cpns-2024,
